total_sales,na_sales,jp_sales,pal_sales,other_sales,critic_score,release_year
1.46,0.56,0.01,0.79,0.11,7.5,2014.0
1.46,0.78,0.03,0.46,0.18,9.3,2011.0
1.46,0.83,0.02,0.48,0.12,6.7,2011.0
1.46,0.95,0.1,0.37,0.04,9.0,2001.0
1.45,0.77,0.03,0.5,0.15,6.5,2008.0
1.45,1.24,0.03,0.17,0.01,7.5,1999.0
1.44,0.75,0.01,0.48,0.21,9.3,2008.0
1.43,0.92,0.0,0.39,0.12,5.6,2010.0
1.43,0.92,0.0,0.38,0.13,7.3,2007.0
1.42,0.8,0.02,0.4,0.19,8.4,2010.0
1.42,0.49,0.06,0.64,0.23,7.5,2012.0
1.42,0.77,0.01,0.52,0.12,7.5,2014.0
1.42,1.22,0.02,0.07,0.11,7.5,2006.0
1.41,0.97,0.03,0.37,0.05,7.5,1994.0
1.4,0.38,0.03,0.08,0.93,7.5,2008.0
1.4,0.74,0.08,0.52,0.06,7.5,2004.0
1.4,0.03,0.02,1.05,0.3,7.5,2003.0
1.39,1.05,0.15,0.17,0.02,7.5,1992.0
1.39,0.64,0.12,0.42,0.22,7.5,2016.0
1.39,0.71,0.0,0.54,0.13,7.7,2011.0
1.39,0.44,0.01,0.72,0.22,7.5,2017.0
1.38,0.77,0.02,0.47,0.12,8.8,2011.0
1.38,0.88,0.02,0.35,0.13,7.5,2014.0
1.38,0.36,0.02,0.69,0.31,7.5,2012.0
1.38,0.43,0.01,0.69,0.26,8.4,2008.0
1.38,0.5,0.07,0.6,0.22,8.8,2011.0
1.37,0.43,0.15,0.57,0.22,8.1,2010.0
1.37,0.24,0.16,0.7,0.26,7.5,2006.0
1.37,0.73,0.02,0.5,0.13,8.7,2011.0
1.37,0.63,0.0,0.57,0.16,5.5,2011.0
1.37,0.89,0.02,0.22,0.24,7.5,2014.0
1.36,0.85,0.13,0.28,0.1,7.7,2010.0
1.36,0.14,0.04,0.98,0.2,7.5,2016.0
1.36,0.81,0.11,0.28,0.15,8.2,2011.0
1.36,0.55,0.01,0.58,0.22,9.0,2017.0
1.36,0.27,1.0,0.08,0.01,7.5,1986.0
1.36,0.79,0.01,0.42,0.13,6.6,2009.0
1.35,0.23,0.02,0.73,0.37,8.1,2008.0
1.35,0.31,0.01,0.89,0.14,7.5,2007.0
1.35,0.63,0.01,0.57,0.14,8.9,2008.0
1.34,0.76,0.05,0.36,0.17,8.6,2008.0
1.34,0.25,0.08,0.75,0.26,8.4,2010.0
1.34,0.84,0.24,0.22,0.04,7.9,2005.0
1.34,0.67,0.13,0.36,0.18,9.0,2011.0
1.34,0.95,0.01,0.21,0.18,7.5,2002.0
1.34,1.22,0.05,0.05,0.01,7.7,2006.0
1.34,0.66,0.04,0.45,0.2,8.2,2008.0
1.34,0.79,0.08,0.34,0.13,8.5,2008.0
1.33,0.62,0.01,0.5,0.2,7.3,2007.0
1.33,0.58,0.09,0.45,0.21,7.5,2013.0
1.33,0.66,0.05,0.5,0.12,8.3,2010.0
1.33,0.48,0.06,0.57,0.22,8.8,2011.0
1.33,0.58,0.05,0.56,0.14,9.5,2009.0
1.33,0.92,0.01,0.35,0.05,7.9,2002.0
1.33,0.9,0.01,0.38,0.05,7.1,2000.0
1.32,0.52,0.1,0.49,0.2,5.1,2018.0
1.32,0.03,0.02,1.16,0.11,7.5,1999.0
1.32,0.47,0.06,0.59,0.2,7.9,2011.0
1.32,0.77,0.09,0.3,0.16,7.4,2010.0
1.32,0.9,0.0,0.31,0.11,8.6,2010.0
1.32,0.69,0.02,0.38,0.24,7.6,2005.0
1.31,0.3,0.02,0.78,0.2,7.5,2016.0
1.3,0.46,0.07,0.57,0.2,7.5,2014.0
1.3,1.07,0.02,0.04,0.17,6.3,2006.0
1.3,0.56,0.28,0.38,0.08,7.5,2000.0
1.29,1.1,0.06,0.04,0.09,7.5,2009.0
1.29,0.67,0.0,0.49,0.13,7.5,2008.0
1.29,0.38,0.41,0.35,0.15,7.5,2015.0
1.29,0.39,0.85,0.02,0.03,7.5,2003.0
1.29,0.4,0.13,0.58,0.19,7.9,2016.0
1.29,0.73,0.01,0.44,0.11,7.5,2014.0
1.28,0.5,0.01,0.56,0.21,7.5,2013.0
1.28,0.45,0.02,0.66,0.15,6.4,2006.0
1.28,0.69,0.03,0.34,0.22,7.5,2015.0
1.28,0.29,0.04,0.76,0.19,7.5,2015.0
1.27,0.49,0.26,0.38,0.13,7.7,2003.0
1.27,0.33,0.05,0.69,0.19,7.5,2013.0
1.27,0.74,0.0,0.4,0.12,7.5,2011.0
1.27,0.58,0.21,0.4,0.08,9.3,1997.0
1.27,0.39,0.53,0.26,0.08,7.5,1995.0
1.26,0.94,0.02,0.17,0.14,6.3,2008.0
1.26,0.02,0.01,1.13,0.1,7.5,1998.0
1.26,0.43,0.05,0.5,0.28,6.3,2009.0
1.26,0.45,0.05,0.55,0.21,7.8,2008.0
1.26,0.35,0.09,0.63,0.19,7.5,2014.0
1.26,0.05,1.1,0.03,0.08,7.5,1998.0
1.25,0.49,0.01,0.0,0.75,7.5,2008.0
1.25,0.68,0.04,0.41,0.12,6.5,2011.0
1.25,1.01,0.03,0.04,0.16,7.7,2006.0
1.25,0.47,0.03,0.53,0.22,7.5,2007.0
1.25,1.0,0.02,0.13,0.1,8.4,2005.0
1.25,0.99,0.1,0.13,0.04,7.5,1998.0
1.24,0.49,0.03,0.51,0.2,7.8,2006.0
1.24,0.24,0.75,0.19,0.06,7.5,2000.0
1.24,0.73,0.01,0.39,0.11,7.5,2015.0
1.23,0.3,0.07,0.64,0.22,8.2,2010.0
1.23,0.79,0.12,0.27,0.04,7.6,2004.0
1.23,0.54,0.62,0.06,0.01,7.5,1987.0
1.22,1.05,0.01,0.06,0.1,6.9,2005.0
1.22,0.59,0.01,0.46,0.15,7.5,2002.0
1.22,0.59,0.01,0.46,0.15,7.5,2006.0
1.22,0.13,1.0,0.07,0.02,7.4,1997.0
1.22,0.27,0.85,0.08,0.02,7.5,1993.0
1.21,0.69,0.01,0.48,0.03,7.5,2003.0
1.21,0.44,0.21,0.4,0.16,8.6,2010.0
1.21,0.13,0.01,0.7,0.36,7.0,2010.0
1.21,0.25,0.03,0.7,0.24,7.5,2007.0
1.21,0.66,0.01,0.48,0.06,7.5,2000.0
1.2,0.12,0.11,0.75,0.23,8.4,2011.0
1.2,0.36,0.17,0.5,0.17,7.6,2014.0
1.2,0.72,0.01,0.43,0.04,7.5,2003.0
1.2,0.38,0.05,0.59,0.19,7.5,2015.0
1.2,0.44,0.05,0.52,0.19,9.3,2018.0
1.19,0.18,0.27,0.66,0.08,6.5,2012.0
1.19,0.09,0.11,0.84,0.15,7.5,2008.0
1.19,0.86,0.01,0.27,0.04,7.6,2002.0
1.19,0.38,0.38,0.35,0.09,8.7,2006.0
1.18,0.53,0.02,0.45,0.17,9.0,2011.0
1.18,0.48,0.36,0.24,0.1,7.5,2012.0
1.18,0.61,0.01,0.46,0.1,7.5,2012.0
1.18,0.41,0.02,0.56,0.19,7.5,2015.0
1.18,0.47,0.06,0.45,0.19,10.0,2010.0
1.17,0.48,0.01,0.48,0.19,8.1,2009.0
1.17,0.74,0.02,0.38,0.03,6.6,1998.0
1.17,0.16,0.83,0.11,0.08,7.5,1997.0
1.17,0.74,0.02,0.26,0.15,7.4,2008.0
1.16,0.5,0.02,0.39,0.25,6.6,2007.0
1.16,0.21,0.77,0.16,0.02,7.5,1995.0
1.16,0.16,0.01,0.68,0.31,7.9,2009.0
1.16,0.39,0.43,0.27,0.08,8.2,1997.0
1.16,0.51,0.01,0.51,0.12,7.6,2008.0
1.16,0.64,0.0,0.42,0.1,8.0,2014.0
1.15,0.67,0.06,0.32,0.1,8.6,2017.0
1.15,0.14,0.88,0.11,0.02,8.8,2017.0
1.14,0.12,0.88,0.1,0.03,7.5,2002.0
1.14,0.31,0.76,0.03,0.04,8.3,2008.0
1.14,0.21,0.04,0.72,0.17,7.5,2017.0
1.14,0.25,0.65,0.17,0.07,8.4,1998.0
1.14,0.78,0.2,0.03,0.13,9.1,2005.0
1.14,0.44,0.25,0.34,0.11,7.5,2003.0
1.14,0.72,0.01,0.3,0.11,7.5,2016.0
1.14,0.7,0.01,0.39,0.03,7.5,2004.0
1.14,0.43,0.02,0.51,0.19,6.6,2008.0
1.13,0.47,0.01,0.47,0.19,7.5,2017.0
1.13,0.53,0.09,0.38,0.13,8.0,2011.0
1.13,0.85,0.01,0.19,0.08,8.0,2011.0
1.13,0.5,0.06,0.4,0.16,8.1,2010.0
1.13,0.54,0.0,0.5,0.09,8.0,2014.0
1.13,0.31,0.02,0.59,0.21,7.7,2008.0
1.12,0.63,0.02,0.36,0.1,7.5,2010.0
1.12,0.33,0.01,0.53,0.25,7.4,2012.0
1.12,0.72,0.01,0.29,0.09,8.0,2011.0
1.12,1.03,0.01,0.0,0.08,7.9,2005.0
1.11,0.63,0.0,0.37,0.11,7.5,2007.0
1.11,0.44,0.02,0.57,0.09,6.0,2018.0
1.11,0.5,0.1,0.37,0.15,8.1,2010.0
1.11,0.61,0.02,0.38,0.1,10.0,2010.0
1.11,0.33,0.0,0.6,0.18,7.5,2017.0
1.11,0.49,0.01,0.43,0.18,7.5,2014.0
1.1,0.52,0.04,0.4,0.13,7.5,2001.0
1.1,0.35,0.13,0.55,0.07,5.8,2017.0
1.1,0.45,0.01,0.52,0.12,7.5,2007.0
1.1,0.31,0.03,0.57,0.19,8.6,2008.0
1.09,0.53,0.03,0.42,0.11,8.1,2008.0
1.09,0.89,0.01,0.03,0.15,7.5,2006.0
1.09,0.44,0.01,0.46,0.18,7.5,2010.0
1.09,0.31,0.45,0.22,0.11,7.1,2014.0
1.09,0.82,0.01,0.17,0.09,8.2,2009.0
1.09,0.29,0.05,0.59,0.16,7.5,2014.0
1.09,0.54,0.01,0.33,0.22,6.5,2005.0
1.08,0.64,0.04,0.28,0.12,7.3,2010.0
1.08,0.68,0.19,0.18,0.03,6.6,2005.0
1.08,0.29,0.08,0.52,0.2,8.7,2007.0
1.08,0.03,0.51,0.46,0.08,8.3,2013.0
1.08,0.28,0.03,0.5,0.27,9.2,2009.0
1.07,0.08,0.04,0.9,0.05,7.5,2008.0
1.07,0.66,0.0,0.3,0.1,7.2,2008.0
1.07,0.53,0.01,0.42,0.11,7.5,2008.0
1.07,0.54,0.0,0.42,0.11,7.5,2009.0
1.07,0.49,0.09,0.34,0.15,7.8,2008.0
1.07,0.17,0.77,0.12,0.02,9.0,1995.0
1.07,0.79,0.03,0.18,0.08,8.4,2011.0
1.07,0.17,0.71,0.12,0.07,7.5,1996.0
1.07,0.47,0.03,0.41,0.17,8.3,2008.0
1.06,0.43,0.09,0.46,0.09,6.8,2008.0
1.06,0.65,0.01,0.3,0.1,7.1,2008.0
1.06,0.44,0.01,0.52,0.08,6.3,2011.0
1.06,0.67,0.01,0.28,0.1,7.8,2010.0
1.06,0.27,0.01,0.58,0.2,9.0,2011.0
1.05,0.42,0.04,0.5,0.08,7.5,2013.0
1.05,0.56,0.05,0.26,0.17,9.1,2013.0
1.05,0.31,0.09,0.49,0.15,7.5,2017.0
1.05,0.23,0.03,0.58,0.21,7.5,2007.0
1.05,0.55,0.03,0.33,0.14,7.5,2012.0
1.05,0.63,0.0,0.32,0.1,7.5,2009.0
1.05,0.46,0.2,0.31,0.09,7.2,2009.0
1.05,0.95,0.01,0.02,0.08,7.3,2007.0
1.04,0.59,0.01,0.35,0.09,6.8,2011.0
1.04,0.25,0.02,0.62,0.16,7.5,2017.0
1.04,0.45,0.22,0.3,0.07,7.5,1997.0
1.04,0.31,0.05,0.5,0.17,8.1,2012.0
1.04,0.5,0.31,0.2,0.03,6.1,1997.0
1.04,0.16,0.0,0.58,0.3,7.7,2009.0
1.04,0.44,0.45,0.12,0.03,7.4,2006.0
1.04,0.56,0.01,0.37,0.1,8.2,2009.0
1.03,0.56,0.01,0.32,0.14,5.3,2008.0
1.03,0.34,0.02,0.48,0.19,7.5,2007.0
1.03,0.32,0.01,0.59,0.12,7.5,2007.0
1.03,0.32,0.26,0.36,0.08,7.5,2007.0
1.03,0.57,0.02,0.35,0.1,7.5,2009.0
1.02,0.73,0.01,0.26,0.03,6.9,2004.0
1.02,0.61,0.01,0.32,0.08,8.5,2011.0
1.02,0.56,0.37,0.05,0.05,7.5,2012.0
1.01,0.31,0.01,0.53,0.16,7.5,2016.0
1.01,0.38,0.05,0.41,0.16,7.5,2015.0
1.01,0.12,0.05,0.65,0.18,7.9,2012.0
1.01,0.54,0.02,0.34,0.1,8.2,2008.0
1.01,0.91,0.0,0.02,0.08,8.4,2009.0
1.01,0.23,0.02,0.6,0.15,7.5,2016.0
1.01,0.37,0.04,0.52,0.09,6.9,2010.0
1.0,0.13,0.03,0.76,0.09,7.5,2008.0
1.0,0.65,0.19,0.15,0.01,8.9,2000.0
1.0,0.13,0.74,0.1,0.03,7.5,2003.0
1.0,0.33,0.01,0.5,0.16,8.5,2011.0
1.0,0.29,0.46,0.19,0.07,7.6,1998.0
1.0,0.73,0.0,0.15,0.11,7.5,2008.0
1.0,0.57,0.01,0.33,0.09,8.4,2013.0
1.0,0.78,0.03,0.18,0.0,7.5,2003.0
1.0,0.72,0.0,0.2,0.08,7.5,2012.0
1.0,0.3,0.38,0.24,0.08,7.5,2000.0
0.99,0.63,0.0,0.27,0.09,7.5,2014.0
0.99,0.73,0.0,0.16,0.1,8.4,2013.0
0.99,0.3,0.38,0.23,0.08,7.5,2001.0
0.99,0.28,0.45,0.19,0.07,7.5,2012.0
0.99,0.65,0.0,0.24,0.09,7.1,2010.0
0.99,0.27,0.0,0.53,0.19,8.8,2009.0
0.99,0.5,0.04,0.28,0.16,7.5,2012.0
0.99,0.28,0.64,0.05,0.03,8.0,2008.0
0.99,0.49,0.02,0.33,0.15,5.6,2008.0
0.98,0.62,0.21,0.13,0.02,7.5,1993.0
0.98,0.34,0.06,0.44,0.15,8.3,2013.0
0.98,0.33,0.03,0.47,0.16,7.5,2014.0
0.98,0.86,0.01,0.03,0.07,4.6,2005.0
0.98,0.02,0.19,0.53,0.25,7.8,2008.0
0.98,0.38,0.06,0.4,0.15,7.4,2012.0
0.98,0.29,0.38,0.23,0.08,8.6,2002.0
0.98,0.5,0.28,0.19,0.02,7.5,2005.0
0.97,0.4,0.01,0.41,0.16,7.5,2018.0
0.97,0.78,0.03,0.03,0.13,7.5,2007.0
0.97,0.49,0.29,0.18,0.01,8.8,2003.0
0.96,0.41,0.09,0.33,0.13,7.5,2012.0
0.96,0.38,0.26,0.25,0.07,8.6,2003.0
0.96,0.32,0.57,0.06,0.01,7.5,1988.0
0.96,0.4,0.13,0.36,0.07,6.9,2011.0
0.96,0.36,0.22,0.28,0.09,7.5,2002.0
0.95,0.24,0.01,0.53,0.17,8.2,2011.0
0.95,0.29,0.2,0.34,0.12,6.6,2010.0
0.95,0.34,0.36,0.16,0.09,6.3,2010.0
0.95,0.39,0.53,0.0,0.03,7.5,2007.0
0.95,0.26,0.46,0.17,0.06,8.9,1997.0
0.95,0.54,0.0,0.32,0.09,5.6,2008.0
0.95,0.27,0.41,0.21,0.07,7.5,2000.0
0.95,0.41,0.31,0.18,0.06,8.2,2012.0
0.94,0.01,0.01,0.71,0.21,7.5,2003.0
0.94,0.1,0.71,0.07,0.06,7.4,2000.0
0.94,0.51,0.01,0.3,0.12,7.5,2008.0
0.93,0.51,0.32,0.09,0.01,7.5,1992.0
0.93,0.36,0.02,0.45,0.1,7.4,2009.0
0.93,0.44,0.39,0.05,0.05,8.1,2005.0
0.93,0.53,0.27,0.09,0.05,6.8,2011.0
0.93,0.51,0.09,0.25,0.08,8.9,2010.0
0.92,0.43,0.16,0.25,0.07,9.3,2012.0
0.92,0.3,0.21,0.33,0.08,7.7,2007.0
0.92,0.2,0.04,0.47,0.2,7.4,2013.0
0.92,0.39,0.43,0.09,0.01,7.5,1986.0
0.92,0.63,0.02,0.2,0.08,7.0,2010.0
0.92,0.12,0.66,0.08,0.06,7.7,1996.0
0.92,0.51,0.01,0.32,0.08,7.6,2013.0
0.92,0.35,0.02,0.42,0.13,7.5,2012.0
0.92,0.28,0.02,0.51,0.11,7.9,2009.0
0.91,0.23,0.05,0.46,0.17,7.3,2009.0
0.91,0.25,0.46,0.14,0.06,5.8,2011.0
0.91,0.48,0.02,0.32,0.09,5.8,2008.0
0.91,0.02,0.02,0.8,0.07,8.3,2000.0
0.91,0.58,0.01,0.24,0.09,8.0,2008.0
0.91,0.35,0.21,0.27,0.09,7.5,2003.0
0.91,0.26,0.03,0.48,0.14,8.2,2013.0
0.9,0.66,0.04,0.12,0.09,7.0,2011.0
0.9,0.34,0.07,0.36,0.14,9.3,2015.0
0.9,0.48,0.02,0.33,0.08,7.5,2012.0
0.9,0.45,0.11,0.26,0.08,7.5,2008.0
0.9,0.32,0.04,0.4,0.15,6.6,2011.0
0.9,0.41,0.01,0.43,0.05,7.5,2004.0
0.9,0.27,0.05,0.36,0.22,8.0,2009.0
0.9,0.74,0.01,0.03,0.12,4.4,2007.0
0.9,0.17,0.55,0.13,0.05,7.5,2007.0
0.89,0.3,0.3,0.23,0.05,7.8,2012.0
0.89,0.42,0.0,0.33,0.14,7.0,2008.0
0.89,0.28,0.0,0.52,0.09,7.5,2008.0
0.89,0.41,0.01,0.37,0.09,6.7,2008.0
0.89,0.46,0.24,0.17,0.02,7.5,2004.0
0.89,0.42,0.3,0.16,0.02,8.4,2005.0
0.89,0.21,0.46,0.13,0.09,8.3,2011.0
0.89,0.33,0.12,0.31,0.13,8.7,2018.0
0.88,0.5,0.0,0.29,0.09,7.5,2008.0
0.88,0.44,0.0,0.35,0.08,7.1,2010.0
0.88,0.55,0.0,0.24,0.08,6.6,2011.0
0.88,0.44,0.09,0.3,0.06,7.5,1997.0
0.88,0.8,0.01,0.0,0.07,7.5,2006.0
0.88,0.42,0.01,0.31,0.14,7.5,2012.0
0.88,0.35,0.01,0.38,0.15,7.7,2009.0
0.88,0.18,0.01,0.59,0.1,8.4,2010.0
0.88,0.5,0.01,0.29,0.08,7.3,2008.0
0.87,0.27,0.13,0.35,0.12,7.5,2014.0
0.87,0.3,0.3,0.2,0.06,9.3,2000.0
0.87,0.55,0.01,0.24,0.07,7.5,2012.0
0.87,0.39,0.28,0.09,0.11,7.5,2013.0
0.87,0.25,0.2,0.37,0.05,6.2,2016.0
0.87,0.11,0.64,0.09,0.03,7.5,2007.0
0.87,0.29,0.02,0.4,0.16,6.0,2008.0
0.87,0.48,0.01,0.29,0.09,8.4,2009.0
0.87,0.46,0.12,0.22,0.06,7.6,2010.0
0.87,0.62,0.0,0.18,0.07,5.6,2011.0
0.87,0.47,0.0,0.3,0.09,7.6,2008.0
0.87,0.43,0.09,0.29,0.06,7.5,1997.0
0.87,0.33,0.01,0.44,0.09,8.7,2008.0
0.87,0.32,0.12,0.26,0.17,7.4,2005.0
0.87,0.38,0.01,0.4,0.08,7.9,2012.0
0.87,0.35,0.08,0.37,0.06,7.4,2016.0
0.87,0.51,0.01,0.27,0.08,7.5,2008.0
0.87,0.31,0.19,0.32,0.06,6.3,2017.0
0.86,0.35,0.21,0.24,0.06,7.2,2014.0
0.86,0.69,0.0,0.1,0.07,7.5,2010.0
0.86,0.01,0.12,0.72,0.01,8.2,2007.0
0.86,0.14,0.01,0.54,0.17,7.5,2008.0
0.86,0.17,0.51,0.13,0.04,7.5,2003.0
0.86,0.41,0.03,0.28,0.14,7.5,2016.0
0.86,0.16,0.28,0.29,0.13,7.5,2014.0
0.85,0.19,0.01,0.52,0.13,7.5,2016.0
0.85,0.35,0.04,0.39,0.07,7.5,2015.0
0.85,0.37,0.09,0.29,0.1,7.5,2012.0
0.85,0.35,0.01,0.37,0.13,8.3,2012.0
0.85,0.22,0.18,0.34,0.12,7.3,2008.0
0.85,0.4,0.37,0.07,0.01,7.5,1990.0
0.85,0.14,0.57,0.09,0.06,8.2,1996.0
0.85,0.32,0.2,0.25,0.08,7.5,2000.0
0.85,0.32,0.02,0.42,0.09,8.4,2010.0
0.85,0.28,0.03,0.41,0.13,7.5,2014.0
0.85,0.52,0.08,0.16,0.1,8.5,2009.0
0.85,0.44,0.02,0.3,0.09,7.9,2009.0
0.85,0.44,0.01,0.27,0.13,7.1,2010.0
0.84,0.42,0.1,0.22,0.1,7.5,2012.0
0.84,0.75,0.01,0.01,0.07,8.2,2009.0
0.84,0.35,0.05,0.37,0.07,6.9,2012.0
0.84,0.34,0.15,0.29,0.06,8.1,2015.0
0.84,0.24,0.39,0.16,0.05,8.3,2007.0
0.84,0.46,0.01,0.25,0.12,8.2,2009.0
0.84,0.46,0.02,0.28,0.08,7.0,2012.0
0.83,0.58,0.0,0.17,0.07,8.4,2008.0
0.83,0.4,0.05,0.26,0.12,7.7,2011.0
0.83,0.39,0.12,0.26,0.05,7.5,1998.0
0.83,0.27,0.28,0.21,0.07,7.5,2000.0
0.83,0.35,0.0,0.41,0.07,7.5,2014.0
0.83,0.49,0.02,0.25,0.07,7.5,2015.0
0.83,0.43,0.11,0.19,0.1,6.0,2010.0
0.83,0.24,0.34,0.19,0.06,7.5,2000.0
0.83,0.3,0.04,0.35,0.14,4.5,2011.0
0.83,0.62,0.01,0.18,0.03,7.5,2003.0
0.83,0.32,0.05,0.32,0.14,6.1,2007.0
0.83,0.41,0.01,0.33,0.09,8.0,2007.0
0.82,0.14,0.14,0.43,0.1,7.5,2015.0
0.82,0.42,0.28,0.1,0.02,7.5,1985.0
0.82,0.22,0.05,0.42,0.12,6.5,2018.0
0.82,0.25,0.01,0.43,0.12,6.5,2011.0
0.82,0.33,0.07,0.25,0.17,8.7,2008.0
0.82,0.67,0.06,0.03,0.05,7.5,2008.0
0.82,0.4,0.03,0.25,0.14,9.7,2012.0
0.82,0.2,0.3,0.27,0.04,8.1,2014.0
0.81,0.06,0.66,0.04,0.05,7.5,2001.0
0.81,0.12,0.03,0.58,0.08,7.0,2009.0
0.81,0.45,0.27,0.08,0.01,7.5,1987.0
0.81,0.35,0.09,0.27,0.09,7.5,2007.0
0.81,0.21,0.39,0.14,0.07,7.5,2015.0
0.81,0.24,0.19,0.29,0.1,7.5,2013.0
0.81,0.53,0.13,0.1,0.05,8.0,2010.0
0.81,0.48,0.0,0.25,0.08,6.2,2008.0
0.81,0.38,0.01,0.35,0.07,7.5,2013.0
0.8,0.31,0.09,0.34,0.07,7.5,2009.0
0.8,0.37,0.14,0.23,0.06,5.9,2013.0
0.8,0.09,0.2,0.33,0.18,7.5,2009.0
0.8,0.32,0.0,0.39,0.09,8.8,2009.0
0.8,0.04,0.26,0.33,0.17,7.3,2008.0
0.79,0.28,0.23,0.22,0.07,7.5,2000.0
0.79,0.05,0.29,0.3,0.16,7.5,2010.0
0.79,0.64,0.02,0.03,0.1,7.5,2007.0
0.79,0.45,0.0,0.27,0.07,8.6,2012.0
0.79,0.35,0.08,0.23,0.12,7.5,2014.0
0.79,0.44,0.01,0.27,0.07,5.6,2013.0
0.79,0.14,0.02,0.52,0.12,7.5,2016.0
0.79,0.42,0.07,0.24,0.06,7.5,2012.0
0.79,0.47,0.01,0.23,0.08,6.2,2009.0
0.79,0.49,0.05,0.12,0.13,7.5,2015.0
0.79,0.39,0.32,0.07,0.01,7.5,1992.0
0.78,0.45,0.02,0.24,0.07,8.1,2009.0
0.78,0.07,0.03,0.56,0.11,8.0,2017.0
0.78,0.24,0.01,0.33,0.19,5.6,2008.0
0.78,0.24,0.06,0.36,0.11,7.5,2017.0
0.78,0.43,0.01,0.27,0.07,7.6,2010.0
0.78,0.22,0.17,0.32,0.07,7.5,2009.0
0.78,0.42,0.01,0.27,0.07,7.5,2015.0
0.78,0.38,0.03,0.3,0.08,6.5,2008.0
0.78,0.24,0.02,0.4,0.12,7.5,2016.0
0.78,0.49,0.01,0.19,0.09,8.4,2008.0
0.78,0.67,0.01,0.04,0.06,8.5,2006.0
0.77,0.28,0.12,0.3,0.07,7.5,2010.0
0.77,0.42,0.08,0.21,0.07,7.0,2007.0
0.77,0.37,0.11,0.19,0.1,5.6,2009.0
0.77,0.21,0.38,0.14,0.04,5.3,2005.0
0.77,0.45,0.14,0.17,0.01,7.5,2005.0
0.77,0.32,0.24,0.12,0.08,7.5,2012.0
0.77,0.23,0.03,0.32,0.19,5.4,2008.0
0.77,0.3,0.03,0.38,0.07,5.6,2011.0
0.77,0.55,0.03,0.14,0.06,7.5,2012.0
0.76,0.38,0.08,0.24,0.06,6.5,2010.0
0.76,0.36,0.01,0.31,0.08,6.8,2007.0
0.76,0.18,0.42,0.12,0.05,7.5,1996.0
0.76,0.31,0.13,0.24,0.08,8.2,2002.0
0.76,0.32,0.0,0.35,0.08,8.0,2008.0
0.76,0.09,0.12,0.45,0.1,7.5,2014.0
0.76,0.17,0.43,0.11,0.05,7.5,1995.0
0.76,0.31,0.03,0.36,0.06,7.5,2013.0
0.76,0.14,0.22,0.32,0.09,7.6,2013.0
0.76,0.09,0.62,0.03,0.02,7.5,2006.0
0.76,0.42,0.02,0.25,0.07,7.5,2016.0
0.76,0.57,0.07,0.02,0.09,7.5,2005.0
0.76,0.26,0.27,0.19,0.04,6.5,2012.0
0.75,0.49,0.01,0.19,0.07,7.5,2015.0
0.75,0.47,0.02,0.14,0.12,7.5,2012.0
0.75,0.3,0.2,0.21,0.05,7.5,2001.0
0.75,0.17,0.01,0.46,0.12,8.0,2017.0
0.75,0.12,0.19,0.36,0.09,7.5,2017.0
0.75,0.48,0.01,0.19,0.07,7.5,2014.0
0.75,0.16,0.01,0.38,0.21,7.5,2009.0
0.75,0.3,0.13,0.24,0.08,7.5,2001.0
0.75,0.08,0.18,0.41,0.09,7.5,2016.0
0.75,0.18,0.06,0.47,0.05,5.9,2018.0
0.75,0.28,0.23,0.19,0.05,7.5,1997.0
0.75,0.22,0.3,0.17,0.06,7.9,2001.0
0.75,0.46,0.01,0.2,0.07,6.6,2008.0
0.75,0.29,0.01,0.32,0.13,6.8,2007.0
0.75,0.18,0.06,0.38,0.14,5.0,2006.0
0.74,0.16,0.5,0.06,0.02,7.5,2005.0
0.74,0.3,0.22,0.16,0.07,7.5,2011.0
0.74,0.27,0.14,0.25,0.09,7.5,2012.0
0.74,0.33,0.02,0.27,0.12,8.6,2009.0
0.74,0.42,0.15,0.16,0.01,7.5,2003.0
0.74,0.58,0.02,0.08,0.05,7.5,2009.0
0.74,0.2,0.24,0.22,0.08,7.5,2010.0
0.74,0.32,0.19,0.18,0.05,8.1,2008.0
0.74,0.41,0.01,0.21,0.1,6.4,2009.0
0.74,0.39,0.01,0.27,0.06,5.4,2017.0
0.73,0.31,0.01,0.3,0.11,7.5,2010.0
0.73,0.14,0.46,0.09,0.05,7.5,1997.0
0.73,0.4,0.17,0.15,0.01,7.5,2004.0
0.73,0.47,0.17,0.02,0.08,8.5,2004.0
0.73,0.29,0.01,0.32,0.12,7.1,2011.0
0.73,0.36,0.02,0.29,0.06,7.9,2012.0
0.73,0.28,0.22,0.15,0.07,8.1,2010.0
0.72,0.27,0.27,0.14,0.04,7.7,2018.0
0.72,0.05,0.61,0.04,0.01,7.5,2003.0
0.72,0.28,0.05,0.33,0.05,7.5,2014.0
0.72,0.43,0.25,0.01,0.04,7.5,2008.0
0.72,0.22,0.02,0.37,0.12,8.3,2010.0
0.72,0.11,0.01,0.5,0.09,8.5,2011.0
0.72,0.36,0.32,0.0,0.03,8.9,2005.0
0.72,0.25,0.01,0.34,0.12,7.5,2016.0
0.72,0.51,0.0,0.14,0.07,7.5,2008.0
0.72,0.59,0.01,0.02,0.1,7.5,2007.0
0.71,0.18,0.41,0.07,0.04,7.5,2008.0
0.71,0.39,0.17,0.09,0.06,9.1,1997.0
0.71,0.15,0.41,0.1,0.05,7.5,1996.0
